Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
toyota,Corolla Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,Corolla SEG 1.8 eCVT Híbrido,1.8L Híbrido (HEV),"Mixto 21,8 km/l",Automática eCVT,122 HP (Combinada),142 Nm,4x2,,,,,,25990000,1000000,,24990000
toyota,Yaris Cross Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,Yaris Cross XI 1.5 Híbrido CVT,1.5L Híbrido,No especificado,Automática CVT,110 HP (Combinada),141 Nm (Combustión) / 121 Nm (Eléctrico),4x2,,,,,,22990000,1000000,,21990000
toyota,Yaris Cross Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,Yaris Cross XG 1.5 Híbrido CVT,1.5L Híbrido,No especificado,Automática CVT,110 HP (Combinada),141 Nm (Combustión) / 121 Nm (Eléctrico),4x2,,,,,,24990000,1000000,,23990000
toyota,bZ4X,100% Eléctrico de Toyota,liviano,SUV,,BZ4X LIMITED 4X2,Motor eléctrico,Autonomía 478 km,Automática,165 KW (221 HP),269 NM,4x2,,,,,,44990000,3000000,,41990000
toyota,bZ4X,100% Eléctrico de Toyota,liviano,SUV,,BZ4X LIMITED AWD,2 Motores eléctricos,Autonomía 453 km,Automática,Potencia combinada 252 KW (338 HP),338 NM,AWD,,,,,,49990000,3000000,,46990000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4x2 2.4 MT DX Euro VI,2.4L Diesel,"Mixto 12,3 km/L",Manual 6 vel.,148 HP,400 Nm,4x2,,,,,,33990000,2000000,,31990000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4X2 2.4 MT SR Euro VI,2.4L Diesel,"Mixto 12,3 km/L",Manual 6 vel.,148 HP,400 Nm,4x2,,,,,,34790000,3400000,,31390000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4x4 2.4 MT DX Euro VI,2.4L Diesel,"Mixto 12,3 km/L",Manual 6 vel.,148 HP,400 Nm,4x4,,,,,,38690000,3300000,,35390000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4x4 2.4 MT SR Euro VI,2.4L Diesel,"Mixto 12,3 km/L",Manual 6 vel.,148 HP,400 Nm,4x4,,,,,,41290000,2800000,,38490000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4X4 2.8 MT SR Euro VI,2.8L Diesel,"Mixto 10,6 km/L",Manual 6 vel.,201 HP,420 Nm,4x4,,,,,,45290000,1100000,,44190000
toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,,Hilux 4X4 2.8 AT SRV Euro VI,2.8L Diesel,"Mixto 10,6 km/L",Automática 6 vel.,201 HP,500 Nm,4x4,,,,,,48590000,1600000,,46990000
toyota,Hilux GR-S,HILUX GR-S,liviano,Gazoo Racing,,Hilux GR-S 4x4 2.8 AT,2.8L Turbo Diésel,"Mixto 11,8 km/L",Automática 6 vel.,221 HP,550 Nm,4x4,,,,,,53190000,1300000,,51890000
toyota,Fortuner GR-S,La tradición de innovar,liviano,Gazoo Racing,,Fortuner GR-S 4x4 2.8 AT,2.8L Turbo Diésel,"Mixto 11,8 km/L",Automática 6 vel.,221 HP,550 Nm,4x4,,,,,,53090000,1100000,,51990000
toyota,Nuevo GR Yaris,Nuevo GR Yaris,liviano,Gazoo Racing,,GR Yaris 1.6 MT,1.6L Turbo,No especificado,Manual 6 vel.,280 HP,390 Nm,GR-Four (4x4),,,,,,54990000,0,,54990000
toyota,Nuevo GR Yaris,Nuevo GR Yaris,liviano,Gazoo Racing,,GR Yaris 1.6 AT,1.6L Turbo,No especificado,Automática 8 vel.,280 HP,390 Nm,GR-Four (4x4),,,,,,56990000,0,,56990000
toyota,4Runner,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,4Runner SR5 2.4 TA 4X4,2.4L Turbo,No especificado,Automática,No especificada,No especificado,4x4,,,,,,52990000,3000000,,49990000
toyota,4Runner,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,4Runner Limited 2.4 TA 4X4,2.4L Turbo,No especificado,Automática,No especificada,No especificado,4x4,,,,,,58990000,3000000,,55990000
toyota,Raize,"Fácil de conducir, simple de disfrutar",liviano,SUV,,Raize i MT,1.2L (87 HP / 113 NM),"Mixto 18,9 km/l",Manual 5 vel.,87 HP,113 NM,4x2,,,,,,12990000,1500000,,11490000
