Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Audi,A3 Sportback,Emociones a flor de piel.,liviano,"Hatchback, Híbrido",SÍ,A3 Sportback PI 35 TFSI S line MHEV,1.5 TFSI,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,6.0 l/100km,,,,,42490000,2590000,2450000,37450000
Audi,A3 Sportback,Emociones a flor de piel.,liviano,"Hatchback, Híbrido",SÍ,A3 Sportback PI 35 TFSI S line MHEV Special Edition,1.5 TFSI,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,6.0 l/100km,,,,,44490000,1990000,2450000,40050000
Audi,A3 Sedán,Ilumina las calles.,liviano,"Sedán, Híbrido",SÍ,A3 Sedan PI 35 TFSI S line MHEV,1.5 TFSI,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,6.0 l/100km,,,,,41990000,2290000,650000,39050000
Audi,A6 Sportback e-tron,100% Audi A6. 100% eléctrico. This is Audi.,liviano,"Sedán, Eléctrico",SÍ,A6 Sportback e-tron S line,Motor Eléctrico,Eléctrico,Automática,285 HP,565 Nm,4x2,16.0 kWh/100km,750 km,,,,89900000,0,1150000,88750000
Audi,A6 Sportback e-tron,100% Audi A6. 100% eléctrico. This is Audi.,liviano,"Sedán, Eléctrico",SÍ,A6 Sportback e-tron performance S line,Motor Eléctrico,Eléctrico,Automática,367 HP,610 Nm,4x2,16.0 kWh/100km,716 km,,,,104900000,0,1150000,103750000
Audi,Nuevo A5,"Tu Audi A5, en cada detalle.",liviano,Sedán,SÍ,New A5 TFSI,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,4x2,7.5 l/100km,,,,,53900000,1000000,2450000,50450000
Audi,Nuevo A5,"Tu Audi A5, en cada detalle.",liviano,Sedán,SÍ,New A5 TFSI quattro S line,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,AWD,7.5 l/100km,,,,,59900000,1000000,2450000,56450000
Audi,Nuevo S5,Hechos que inspiran.,liviano,Sedán,SÍ,New S5 TFSI quattro,3.0 TFSI,Gasolina,DCT / DSG,367 HP,500 Nm,AWD,9.5 l/100km,,,,,78900000,1000000,2450000,75450000
Audi,Q3,Talento integral.,liviano,SUV,SÍ,Q3 35 TFSI,1.4 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,8.1 l/100km,,,,,42990000,3390000,2150000,37450000
Audi,Q3,Talento integral.,liviano,SUV,SÍ,Q3 35 TFSI (MY26),1.5 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,8.1 l/100km,,,,,43490000,2390000,2150000,38950000
Audi,Nuevo Q3,Talento integral.,liviano,SUV,SÍ,New Q3 TFSI,1.5 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,8.1 l/100km,,,,,44990000,1000000,1950000,42040000
Audi,Q3 Sportback,Extrovertido Coupé.,liviano,SUV,SÍ,Q3 Sportback 35 TFSI (MY26),1.5 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,7.1 l/100km,,,,,45490000,3690000,2850000,38950000
Audi,Q3 Sportback,Extrovertido Coupé.,liviano,SUV,SÍ,Q3 Sportback 35 TFSI S line,1.5 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,7.1 l/100km,,,,,50990000,3190000,2850000,44950000
Audi,Nuevo Q3 Sportback,Extrovertido Coupé.,liviano,SUV,SÍ,New Q3 Sportback TFSI,1.5 TFSI,Gasolina,DCT / DSG,150 HP,250 Nm,4x2,7.1 l/100km,,,,,47490000,1000000,1950000,44540000
Audi,Q4 Sportback e-tron,Una nueva perspectiva.,liviano,"SUV, Eléctrico",SÍ,Q4 Sportback e-tron,Motor Eléctrico,Eléctrico,Automática,285 HP,545 Nm,4x2,18.0 kWh/100km,579 km,,,,66990000,2890000,1150000,62950000
Audi,Q4 Sportback e-tron,Una nueva perspectiva.,liviano,"SUV, Eléctrico",SÍ,Q4 Sportback e-tron S line,Motor Eléctrico,Eléctrico,Automática,285 HP,545 Nm,4x2,18.0 kWh/100km,579 km,,,,71990000,3890000,1150000,66950000
