Marca,Modelo,Version,Precio Lista,Bono Marca,Bono Financiamiento,Precio Financiamiento,Tipo,Categoria,Incluye IVA,Motor CC,Combustible,Transmision,Airbags,Traccion,Rendimiento Mixto,Autonomia KM,Potencia Hp,Torque Nm
MG,MG ZS,1.5L CVT STD,$16.490.000,$1.000.000,$3.000.000,$12.490.000,liviano,suv,SÍ,1.5L,Gasolina,Automática,2,4x2,"17,6 km/l",-,114 HP,-
MG,MG ZS,1.5L CVT COM,$17.790.000,$1.000.000,$3.000.000,$13.790.000,liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"17,6 km/l",-,114 HP,-
MG,MG ZS,1.5T CVT DLX,$20.490.000,$1.000.000,$3.000.000,$16.490.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"17,6 km/l",-,168 HP,275 Nm
MG,MG ZS EV,DLX 72KHw,$33.990.000,$6.000.000,$1.000.000,$26.990.000,liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,6,4x2,-,440 km,154 HP,280 Nm
MG,MG ZS Hybrid+,1.5L HEV COM,$20.990.000,$1.000.000,$2.000.000,$17.990.000,liviano,"suv, híbrido",SÍ,1.5L Híbrido,Híbrido,Automática,6,4x2,"43,5 km/l",-,191 HP,465 Nm
MG,MG ZX,1.5L CVT COM Euro 6B,$14.990.000,$2.800.000,"$700,000",$11.490.000,liviano,suv,SÍ,1.5L,Gasolina,Automática,4,4x2,"18,1 km/l",-,112 HP,150 Nm
MG,MG ZX,1.5L 8-CVT DLX Euro 6B,$16.090.000,$2.900.000,"$700,000",$12.490.000,liviano,suv,SÍ,1.5L,Gasolina,Automática,4,4x2,"18,1 km/l",-,112 HP,150 Nm
MG,MG ZX,1.5L MT COM Euro 6C,$14.290.000,$3.000.000,$2.300.000,$8.990.000,liviano,suv,SÍ,1.5L,Gasolina,Mecánica,2,4x2,"18,1 km/l",-,112 HP,150 Nm
MG,MG ZX,1.5L MT DLX Euro 6C,$14.990.000,$3.400.000,$1.600.000,$9.990.000,liviano,suv,SÍ,1.5L,Gasolina,Mecánica,4,4x2,"18,1 km/l",-,112 HP,150 Nm
MG,MG ZX,1.5L CVT COM Euro 6C,$14.990.000,"$800,000",$1.700.000,$12.490.000,liviano,suv,SÍ,1.5L,Gasolina,Automática,4,4x2,"18,1 km/l",-,112 HP,150 Nm
MINI,Aceman,E CLASSIC,"$36,990,000",$0,"$7,000,000","$29,990,000",liviano,"Aceman, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"14,1 kWh/100km",300 km,-,290 Nm
MINI,Aceman,SE FAVOURED,"$41,990,000",$0,"$5,000,000","$36,990,000",liviano,"Aceman, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"14,0 kWh/100km",400 km,-,330 Nm
MINI,Cooper 3 Puertas,C 1.5 HB 3P CLASSIC,"$34,990,000",$0,"$6,000,000","$28,990,000",liviano,Cooper,SÍ,1.5L,Gasolina,Automática,,4x2,"17,5 km/l",-,156 HP,230 Nm
MINI,Cooper 3 Puertas,C 1.5 HB 3P FAVOURED,"$36,990,000",$0,"$3,000,000","$33,990,000",liviano,Cooper,SÍ,1.5L,Gasolina,Automática,,4x2,"17,0 km/l",-,156 HP,230 Nm
MINI,Cooper 3 Puertas,S 2.0 HB 3P FAVOURED,"$39,990,000",$0,"$4,000,000","$35,990,000",liviano,Copper,SÍ,2.0L,Gasolina,Automática,,4x2,"15,0 km/l",-,204 HP,300 Nm
MINI,Cooper 5 Puertas,C 1.5 HB 5P CLASSIC,"$35,990,000",$0,"$2,000,000","$33,990,000",liviano,Copper,SÍ,1.5L,Gasolina,Automática,,4x2,"15,8 km/l",-,156 HP,230 Nm
MINI,Cooper 5 Puertas,S 2.0 HB 5P FAVOURED,"$40,990,000",$0,"$5,000,000","$35,990,000",liviano,Copper,SÍ,2.0L,Gasolina,Automática,,4x2,"15,3 km/l",-,204 HP,300 Nm
MINI,Cooper Cabrio,S 2.0 CABRIO FAVOURED,"$45,990,000",$0,"$2,000,000","$43,990,000",liviano,Convertible,SÍ,2.0L,Gasolina,Automática,,4x2,"15,4 km/l",-,204 HP,300 Nm
MINI,Cooper Eléctrico,E CLASSIC,"$35,990,000",$0,"$6,000,000","$29,990,000",liviano,"Copper, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"5,5 km/kWh",300 km,184 HP,290 Nm
MINI,Cooper Eléctrico,SE FAVOURED,"$40,990,000",$0,"$3,000,000","$37,990,000",liviano,"Copper, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"6,3 km/kWh",400 km,218 HP,330 Nm
MINI,Countryman,C 1.5 CLASSIC,"$37,990,000",$0,"$3,000,000","$34,990,000",liviano,Countryman,SÍ,1.5L,Gasolina,Automática,,4x2,"16,4 km/l",-,156 HP,280 Nm
MINI,Countryman,C 1.5 FAVOURED,"$41,990,000",$0,$0,"$41,990,000",liviano,Countryman,SÍ,1.5L,Gasolina,Automática,,4x2,"15,4 km/l",-,156 HP,230 Nm
MINI,Countryman,S ALL4 2.0 FAVOURED,"$48,990,000",$0,"$1,000,000","$47,990,000",liviano,Countryman,SÍ,2.0L,Gasolina,Automática,,AWD,"13,5 km/l",-,204 HP,300 Nm
MINI,Countryman,D 2.0 FAVOURED,"$43,990,000",$0,"$5,000,000","$38,990,000",liviano,Countryman,SÍ,2.0L,Diésel,Automática,,4x2,"15,4 km/l",-,150 HP,360 Nm
MINI,Countryman,E CLASSIC Eléctrico,"$48,990,000",$0,$0,"$48,990,000",liviano,"Countryman, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,-,462 km,204 HP,250 Nm
MINI,JCW 3 Puertas,SPITFIRE 2.0 HB 3P,"$44,990,000",$0,"$6,000,000","$38,990,000",liviano,John Cooper Works,SÍ,2.0L,Gasolina,Automática,,4x2,"14,7 km/l",-,231 HP,380 Nm
MINI,JCW 3 Puertas,2.0 HB 3P,"$48,990,000",$0,"$2,000,000","$46,990,000",liviano,John Cooper Works,SÍ,2.0L,Gasolina,Automática,,4x2,"14,7 km/l",-,231 HP,380 Nm
MINI,JCW 3 Puertas,2.0 HB 3P GP INSPIRED,"$49,990,000",$0,"$2,000,000","$47,990,000",liviano,John Cooper Works,SÍ,2.0L,Gasolina,Automática,,4x2,"14,7 km/l",-,231 HP,380 Nm
